title,author,publication_year
"Who's to Know?: Information, the Media, and Public Awareness",Ann E. Weiss,1990
The Business of Fancydancing: Stories and Poems,Sherman Alexie,1992
Sinatra: A Celebration,Ray Coleman,1997
Don't Take Any Wooden Nickels (The Million Dollar Mysteries),Mindy Starns Clark,2003
The Secret Garden,Frances Hodgson Burnett,0
Improbable Cause,J.A. Jance,1988
Swamp Fire,Patricia Potter,1995
Do Not Exceed the Stated Dose,Peter Lovesey,1998
Drawing On the Right Side of the Brain,Betty Edwards,0
Armadale (World's Classics),Wilkie Collins,1990
The Stretch (Stephen Leather Thrillers),Stephen Leather,2001
Be Sick Well: A Healthy Approach to Chronic Illness,Jeff Kane,1991
Diddy Waw Diddy: Passage of an American Son (Southwest Life and Letters),Billy Porterfield,1995
Sugar Land: A Novel,Joni Rodgers,1999
Eva Peron,Alicia Dujovne Ortiz,1996
Some Wildflower in My Heart,Jamie Langston Turner,1998
Great Son (Fawcett Crest Book),Edna Ferber,1980
Coorong,Colin Thiele,1972
Verse Ahoy: Early Australian Nursery Rhymes,Robert Holden,1995
Dinah Forever,Claudia Mills,0
The Promise of a New Day (Hazelden Meditations),Karen Casey,1996
Infinite Riches,Ben Okri,1999
New Headway English Course,John Soars,1998
Laidlaw (A Harvest Book),William McIlvanney,1993
"The Vampire Lestat (Rice, Anne, Chronicles of the Vampires, 2nd Bk.)",ANNE RICE,1997
Abnormal psychology: Current perspectives,Richard R Bootzin,1984
The Complete Healer: How to Awaken and Develop Your Healing Potential,David Furlong,1996
It Takes Two (Magical Love Romance Series),Adrienne Burns,2000
Journey Into Fear,Ambler,1977
Fruit Desserts: Delectable Seasonal Sweets,Lisa Yockelson,1991
Song of the Greys,Kerner,1999
Irish Humor: The Book for All Seasons,John McCarthy,1993
Pulse,William R. Dantz,1989
Mirrors of Narcissus,Guy Willard,2001
Reflex,Dick Francis,2003
Legends of the Celts,Frank Delaney,1992
Find It Fast: How to Uncover Expert Information on Any Subject (Find It Fast: How to Uncover Expert Information on Any Subject Online or in Print),Robert I. Berkman,1994
Little Book of Love,Joules Taylor,2002
Intercourse,Andrea Dworkin,1997
Restoree,McCaffrey,1978
Blast from the Past,Ben Elton,1999
Midnight Riders: The Story of the Allman Brothers Band,Scott Freeman,1995
Resumes That Get Jobs: Resume Service,Jean Reed,1986
How It Ended (Bloomsbury Paperbacks),Jay McInerney,2001
Explorations and Adventures in Arizona and New Mexico,Samuel Cozzens,1992
Origins: What new discoveries reveal about the emergence of our species and its possible future,Richard E. Leakey,1977
Sense and Sensibility (Penguin Classics),Jane Austen,2003
State Street,Richard Whittingham,1993
Mrs. Pooter's diary,Keith Waterhouse,1983
Verdi hร?ยถren und sterben. Ein Roman aus Venedig und dem Veneto.,Michael Bร?ยถckler,2002
Where have all the bullets gone?,Spike Milligan,1985
Yogi: It Ain't over,Yogi Berra,1989
The Edge of Sleep,David Wiltse,1994
It's a Cat's Life: True Stories With Practical Help for Your Cat from Birth to Old Age,Anita Frazier,1985
Die Widerspenstige,Penelope Williamson,0
Cats Are Better Than Men,Beverly Guhl,1994
"Wij willen kinderen: Het voorlichtingsboek voor toekomstige ouders over gezinsvorming, zwangerschap en de baby",Heleen Crul,1975
The Cat Who Went to Paris,Peter Gethers,1991
Eine Frau Jahrgang 13.,Agnes-Marie Grisebach,1991
Stage Fright,Clare McNally,1995
Altered States,Anita Brookner,0
Blue Murder,Robert Leslie Bellem,1987
Wein und Krieg.,Don Kladstrup,2002
Mr. Scobie's Riddle,Elizabeth Jolley,1984
The kraken wakes,John Wyndham,1953
The Thing Upstairs,Stephen Mooser,1994
"Frommer's Nova Scotia, New Brunswick &amp; Prince Edward Island (2nd Ed)",Wayne Curtis,1998
The big mango,Jake Needham,1999
Warrior Caste (The Fighting Saga of the Sas Book 1),James Albany,1985
De (ver)wording van de jongere Dรผrer,Lรฉon de Winter,1978
Classic Scrapbooking:  The Art &amp; Craft of Creating a Book of Memories,Vera Rosenbluth,1998
Die Mร?ยผhle am Fluss.,Roy Jacobsen,2003
Purple Dots: A Novel,James Lehrer,2002
Code Black,Charles Ryan,1997
Die Rache der Frauen. Roman.,Olivia Goldsmith,1995
Cycle of Violence,Colin Bateman,1997
Return of the Seventh Carrier,Peter Albano,1987
Sieben magere Jahre.,Celia Fremlin,1994
Island of the Blue Dolphins,Scott O'Dell,1960
Writing Home,Alan Bennett,2003
The Haymeadow,Gary Paulsen,1992
In Nederland: Roman (Grote ABC),Cees Nooteboom,1984
In kalter Absicht. Roman.,Anne Holt,2003
City of Shadows: Book 1  (The Celia Rees Supernatural Trilogy),Celia Rees,2002
The Wild,Esther Freud,2000
The Raven: A Novel,Peter Landesman,1995
"The Shadow in the Sands: Being an Account of the Cruise of the Yacht Gloria in the Frisian Islands in the April of 1903, and the Conclusion of the Eve ...  Erskine (Mariner's Library Fiction Classics)",Sam Llewellyn,1999
"Tanner's Twelve Swingers: An Evan Tanner Mystery (Evan Tanner Mystery Series, 3)",Lawrence Block,1999
Brave New World (Bridge),Aldous Huxley,1973
Dracula (Penguin Popular Classics),Bram Stoker,1994
The Caves of Perigord,Martin Walker,2002
Using the Internet and the World Wide Web in Your Job Search,Fred Edmund Jandt,1996
Netscape Communicator 4.5 for Dummies Quick Reference,Viraf D. Mohta,1999
The Dinosaur Hunters: A True Story of Scientific Rivalry and the Discovery of the Prehistoric World,Deborah Cadbury,2001
De blindganger: Roman,Peter Drehmanns,1999
Wolfking/a Spellbinding Saga of Darkest Magic in the Golden Age of Ireland,Bridget Wood,1992
The ABCs of Netscape Composer,Michael Meadhra,1997
Onvolledig landschap,Thomas Verbogt,1989
Introducing Microsoft Windows 98 : The Official First Look at the Next Version of Microsoft Windows,Russell Borland,1997
Netscape Plug-In Power,Dave Wall,1996
De jacobsladder: Roman,Maarten 't Hart,1986
Creating Your Own Netscape Web Pages,Andrew Bryce Shafran,1995
Tobias (Grote ABC),Marijke Hรถweler,1985
"Country Of The Heart (Harlequin Presents, No 1040)",Robyn Donald,1987
"Vida Es Sueno, La - Las Ruinas Circulares",Pedro Calderon de La Barca,2003
What Am I Doing Here?,Jim Kesey,2001
Enhancing Netscape Web Pages,Andrew Bryce Shafran,1996
Surfing the Internet with Netscape Communicator 4,Daniel A. Tauber,1997
Against All Odds More Dramatic Last,Bryan Perrett,0
The Haunted Mesa,Louis L'Amour,1987
The Death and Life of Miguel Cervantes,Stephen Marlowe,1991
The Boy Who Made Dragonfly: A Zuni Myth,Tony Hillerman,1986
"The Snake Dance of the Moquis of Arizona: Being a Narrative of a Journey from Santa Fe, New Mexico, to the Villages of the Moqui Indians of Arizona",John Bourke,1984
Penny Pinching,Lee Simmons,1993
NINE-HEADED DRAG RIV,PETER MATTHIESSEN,1987
Boy Wonder,James R. Baker,1989
Crossing the Rubicon: Celebrating the Human-Animal Bond in Life and Death,Julie Kaufman,1999
His Dark Materials Trilogy: The Golden Compass / The Subtle Knife / The Amber Spyglass,Philip Pullman,2003
Puppy Fat,Morris Gleitzman,1996
The Vanishing,Tim Krabbe,1993
In The Deco Style,Dan Klein,2002
The Winnebago Tribe,Paul Radin,1990
Everest: Summit of Achievement,Royal Geographic Society,2003
Crying Wind,Crying Wind,1977
Hunting down home,Jean McNeil,1996
A Tale of Two Cities (Penguin Classics),Charles Dickens,2000
Way of the Sun,White Eagle,1982
Blues for Dummies,Lonnie  Brooks,1998
L'idร?ยฉaliste,John Grisham,2001
Paradox (Echo Heron),Echo Heron,1998
Close Encounters,Mike Wallace,1987
The Sleeper,Gillian White,2003
Barbara Jordan : American Hero,MARY BETH ROGERS,2000
La vengeance dans la peau,Ludlum,2002
Tolkien: A Biography,Humphrey Carpenter,1978
Tea at four o'clock (Virago modern classic),Janet McNeill,1988
Le Poร?ยจte,Michael Connelly,1998
Bien frappร?ยฉ,Carol Higgins Clark,2000
Whores in History: Prositution in Western Society,Nickie Roberts,1993
Bleeding Hearts (A Jack Harvey Novel),Ian Rankin,2004
Ce que vivent les roses,Mary Higgins Clark,1995
The Forest Proof,E Rutherfurd,0
"Celtic Myths, Celtic Legends",R. J. Stewart,1996
Un jour tu verras--,Mary Higgins Clark,2000
"Joyeux Noร?ยซl, Merry Christmas",Mary Higgins Clark,1997
The Oxford Dictionary of Quotations (Oxford Dictionary of Quotations),Elizabeth Knowles,1999
Principles of Neural Science,Eric R. Kandel,2000
"Right Hand, Left Hand",Chris McManus,2002
LesViolons Parfois,Francoise Sagan,1966
Confessions of a Teenage Baboon,PAUL ZINDEL,1984
Red Holocaust (Deathlands),James Axler,1986
"A History of Britain, Volume 3: The Fate of Empire 1776-2002",Simon Schama,2003
Just Enough Rope: An Intimate Memoir,Joan Braden,1989
"DEFECTION OF A. J. LEWINTER, THE",ROBERT LITTELL,1990
Eppie: The Story of Ann Landers (#06826),Margo Howard,1984
Anne of Ingleside (Anne of Green Gables Novels (Paperback)),L.M. Montgomery,1999
John Arlott: a Memoir,Timothy Arlott,1994
The Swan in My Bathtub and Other Adventures in the Aark,Mary Jane Stretch,1991
Poison: An 87th Precinct Novel,Ed McBain,1987
LA Popessa,"Paul and Arlington, Rene Murphy",1983
High Water: A Novel,Lynn Hightower,2002
Jack and the Beanstalk,Ed McBain,1984
Heidi grandit,Johanna Spyri,2003
Heidi,Spyri,2002
Ustinov in Russia,Peter Ustinov,1987
A Temporary Ghost (A Viking Novel of Mystery and Suspense),Mickey Friedman,1989
LeTour du Monde en 80 Jours,Jules Verne,1990
A Timetable of Inventions and Discoveries: From Pre-History to the Present Day,Kevin Desmond,1987
Betcha Can't Read Just One,Alan Dean Foster,1993
The Missing Madonna,Carol Anne O'Marie,1988
La case de l'oncle tom,Beecher-Stowe,2002
The Backpacker (Summersdale Travel),John Harris,2001
Le Capitaine Fracasse,Gautier,1985
The Chosen,David Ireland,1998
Family Affairs,Catherine Gaskin,1981
How to Get Interviews from Classified Job Ads,Kenton W. Elderkin,1995
Croc-Blanc,Jack London,2000
Soul Circus,George Pelecanos,2004
159 Celtic Designs (Dover Pictorial Archive),Amy L. Lusebrink,1993
Lauren's Story: An American Dog in Paris,Kay Pfaltz,2002
Sans famille,Hector Malot,2000
Stray Kat Waltz (Kat Colorado Mysteries),Karen Kijewski,1998
"The Sea Peoples (Children of the Lion Series, Book No. 11)",Peter Danielson,1990
Radio Romance,Garrison Keillor,1992
La maison des quatre vents,Vivier,2000
Water: Tales of Elemental Spirits,Robin McKinley,2002
Wingate and the Chindits: Redressing the Balance,David Rooney,1994
Collision Course,Raymond Derek Lygo,2002
Voyage au centre de la Terre,Jules Verne,1998
"Cinderella (Matthew Hope, No 6)",Ed McBain,1986
La Mort aux yeux de porcelaine,Gudule,2001
Every Eighteen Seconds: A Journey Through Domestic Violence,Nancy Kilgore,1993
Le Bourgeois Gentilhomme,Moliere,1992
Tricks: An 87th Precinct Novel,Ed McBain,1987
LADIES AND GENTLEMEN OF THE JURY : GREATEST CLOSING ARGUMENTS IN MODERN LAW,Ben Bycel,1998
Adoption Story: A Son Is Given,Marguerite Ryan,1990
The mathematics of Jane Austen and other stories,Elizabeth Smither,1997
The Wild Blue: 741 Squadron: on a Wing and a Prayer Over Occupied Europe,Stephen E. Ambrose,2002
Une poignรฉe de gens: Roman,Anne Wiazemsky,1998
To the Frontier,Geoffrey Moorehouse,0
Un oeuf d'acier (Azimuts),Yves Meynard,1997
Fade to Black,Ron Renauld,1980
"Whiskey River (Detroit Triology, Book 1)",Loren D. Estleman,1990
L'orniร?ยจre,Hermann Hesse,1999
Angel Eyes,Loren D. Estleman,1981
LIGHT YEARS,Gary Kinder,1988
General Murders (Amos Walker Mysteries),Loren D. Estleman,1988
De ruimte van Sokolov: Roman,Lรฉon de Winter,1992
Client Privilege,William G. Tapply,1990
Pity Him Afterwards,Donald E. Westlake,1996
Gimmick! (Grote ABC),Joost Zwagerman,1989
Singing for the Stars: A Complete Program for Training Your Voice (Book &amp; 2 CD's),Seth Riggs,1992
The Lighthouse: A Novel of Terror (A Thomas Dunne Book),Bill Pronzini,1987
Gandhi a Memoir,William L Shirer,0
Murder in the Wings,Edward Gorman,1986
L'Angle Mort: Roman,Jean-Francois Chassay,2002
Follow the Sharks: A Brady Coyne Mystery,William G. Tapply,1985
Furie,Salman Rushdie,2003
"Quarry: A \Nameless Detective\"" Mystery""",Bill Pronzini,1992
Lady Yesterday,Loren D. Estleman,1987
Katharine Hepburn,Barbara Leaming,2000
Pourquoi les filles grandissent-elles?,Stan Cullimore,1999
Ma mร?ยจre m'ร?ยฉpuise,Hubert Ben Kemoun,2002
An almost perfect moon,Jamie Holland,2001
"Once Forbidden... (The Delaney Heirs) (Silhouette Intimate Moments, No. 1115)",Carla Cassidy,2001
Dead Meat,Philip Kerr,1995
"Paradise Kiss, Book 3",Ai Yazawa,2002
A Cat on a Beach Blanket: An Alice Nestleton Mystery (Alice Nestleton Mysteries (Paperback)),Lydia Adamson,1998
"By Honor Bound (The Lassiter Law) (Silhoutte Intimate Moments, No. 1111)",Ruth Ryan Langan,2001
Miracle Girls #1,Nami Akimoto,2000
"Miss And The Maverick (Harlequin Historical, No 52)",Prue Scott,1990
Home Vcr Repair Illustrated,Richard C. Wilkins,1991
WISH #2,Clamp,2002
PASSIONATE JOURNEY,MYODO SATOMI,1987
"Return Of The Prodigal Son (The Lassiter Law) (Silhouette Intimate Moments, No. 1123)",Ruth Ryan Langan,2002
"Astaire, the Man, the Dancer (08528)",Bob Thomas,1987
The Enemy,Desmond Bagley,1985
"Rainbow Fire (Intimate Moments, No 273)",Emilie Richards,1989
"Paradise Kiss, Book 2",Ai Yazawa,2002
Death on the Mississippi (A Lyon and Bea Wentworth Mystery),Richard Forrest,1989
Sworn to Defend (Cass Jameson Legal Mysteries),Carolyn Wheat,1998
War Wives: A Second World War Anthology,Colin Townsend,1990
"Renegade And The Heiress (Wide Open Spaces) (Silhoutte Intimate Moments, No. 1114)",Judith Duncan,2001
Dreaming Southern,Linda Bruckheimer,1999
Perfect Couple (Love Inspired),Geoff Hansen,2000
"No Time to Wave Goodbye: True Stories of Britain's 3,500,000 Evacuees",Ben Wicks,1989
The Way of Herbs,Michael Tierra,1983
The Creative Stencil Source Book,Patricia Meehan,1998
"Her Guardian Agent (Intimate Moments, 1093)",Terese Ramin,2001
Folktale Cat,Frank De Caro,0
Collected short stories [of] W. Somerset Maugham,William Somerset Maugham,1976
"Straight From The Heart (Men Made In America) #7 (Men Made in America, No 7)",Barbara Delinsky,1993
Cuerpodivino,Theodore Sturgeon,2000
Floodgate,Alistair MacLean,1995
America's forgotten architecture,National Trust for Historic Preservation in the United States,1976
Fight for Canada: 400 Years of Resistance to American Expansion,Orchard,1993
Judging Sara (Love Inspired (Numbered)),Cynthia Rutledge,2001
Depression Modern: The Thirties Style in America,Martin Greif,1976
"Too Close For Comfort (Intimate Moments, 1098)",Sharon Mignerey,2001
Local Rules,Jay Brandon,1995
A Cast of Killers,Sidney Kirkpatrick,1987
Revenge : A Novel,STEPHEN FRY,2002
"Jackie Brown (originally published as \Rum Punch\"")""",Elmore Leonard,1997
In the Days of the American Museum,Robert Edric,1990
The Monkey's Raincoat,Robert Crais,1987
Dancing Girls and Other Stories,Margaret Eleanor Atwood,1985
Breakdown,Bill Pronzini,1991
Code 61,Donald Harstad,2003
Slow Walk in a Sad Rain (Fresh Voices Series),John P. McAfee,1994
The Dona,Major Mitchell,2001
A Small Death in Lisbon,Robert Wilson,2000
BLYE PRIVATE EYE,Nicholas Pileggi,1987
Trust Territory,Janet Morris,1994
Ainsi parlait Zarathoustra,Friedrich Nietzsche,1972
Snow Falling on Cedars,David G. Uterson,1995
Hollywood Wives,Jackie Collins,1983
An Immoral Code,Caro Fraser,1999
Silhouette in Scarlet,Elizabeth Peters,1985
Threshold,Ben Mezrich,1997
"Autant en emporte le vent, tome 2",Margaret Mitchell,1976
Break in,Dick Francis,2001
Le gร?ยฉnie de Jeanne d'Arc,Jean Guitton,1998
"Sir Gawain and the Green Knight, Patience, Pearl: Verse Translations",Marie Borroff,2001
Solomons Seal,Hammond Innes,1986
Ces Enfants De Ma Vie,Gabrielle Roy,0
High Citadel,Desmond Bagley,2000
A Cat That Wasn't There,Stella Whitelaw,1992
La promeneuse d'oiseaux: Roman,Didier Decoin,1996
The Lovely Bones,Alice Sebold,2004
Athabasca,Alistair MacLean,1996
L'amour ร  boire: Roman (Collection espace nord junior),Frank Andriat,1999
Lullaby Of Murder,Nancy Davis,1989
La Religieuse,Diderot,0
Gideon's Men,J.J. Marric,1990
The Complete Guide to Magic and Ritual,Cassandra Eason,2002
Green Pages: Your Everyday Shopping Guide to Environmentally Safe Products,Bennet Information Group,1990
No Strings Attached (Harlequin Presents 1029),Annabel Murray,1987
The Artful Cat,Mark Bryant,1991
"Candide, French Edition",Voltaire,2003
Maybe Married  (To Have and to Hold),Leigh Michaels,2003
It's Only Rock 'N' Roll: The Ultimate Guide to the Rolling Stones,James Karnbach,1997
Progress of Passion (Harlequin Presents),Alison Kelly,1999
Un Amour de Swann,Marcel Proust,1987
Walk Historic Halifax: Walking Guide to an Historic Capital (Maritime Travel Guides Series),Grant MacLean,1996
This Must Be the Place: The Adventures of Talking Heads in the Twentieth Century,David Bowman,2001
"Written On The Wind (Silhouette Romances, No 400)",Rita Rainville,1985
La derniร?ยจre ร?ยฉnigme,Agatha Christie,1991
Mondo Elvis: A Collection of Stories and Poems about Elvis,Lucinda Ebersole,1994
Facing the Lions,Tom Wicker,1983
"Fair Game (Harlequin American Romance, No  206)",Susan Andrews,1987
Choosers of the Slain (Beeler Mysteries),James H. Cobb,1997
The Complete Guide to the Music of the Rolling Stones (Complete Guide to the Music of),James Hector,1995
Earthly Joys,Philippa Gregory,1998
Seeing and Believing: How the Telescope Opened Our Eyes and Minds to the Heavens,Richard Panek,2001
Les infortunes de la vertu,Marquis de Sade,1999
